student_id,school_id,MOWR,Promotion,College_Credits
1,16,FALSE,FALSE,0
2,22,TRUE,FALSE,36
3,5,FALSE,FALSE,0
4,12,TRUE,FALSE,52
5,15,FALSE,TRUE,0
6,9,TRUE,TRUE,33
7,5,FALSE,FALSE,0
8,6,FALSE,FALSE,0
9,16,FALSE,TRUE,0
10,4,FALSE,FALSE,0
11,2,TRUE,TRUE,54
12,7,FALSE,TRUE,0
13,22,TRUE,TRUE,36
14,6,TRUE,FALSE,40
15,15,FALSE,FALSE,0
16,14,FALSE,FALSE,0
17,20,FALSE,FALSE,0
18,14,FALSE,FALSE,0
19,24,FALSE,FALSE,0
20,4,FALSE,TRUE,0
21,4,FALSE,TRUE,0
22,21,FALSE,TRUE,0
23,8,TRUE,FALSE,39
24,20,TRUE,TRUE,40
25,24,FALSE,TRUE,0
26,3,FALSE,TRUE,0
27,4,TRUE,FALSE,24
28,5,FALSE,FALSE,0
29,2,TRUE,TRUE,36
30,15,TRUE,FALSE,27
31,8,FALSE,FALSE,0
32,20,FALSE,FALSE,0
33,16,FALSE,TRUE,0
34,12,TRUE,FALSE,45
35,3,FALSE,FALSE,0
36,23,FALSE,TRUE,0
37,9,FALSE,FALSE,0
38,19,FALSE,FALSE,0
39,22,TRUE,FALSE,30
40,4,FALSE,FALSE,0
41,8,TRUE,TRUE,27
42,10,FALSE,TRUE,0
43,11,FALSE,TRUE,0
44,2,TRUE,TRUE,44
45,21,FALSE,FALSE,0
46,15,FALSE,TRUE,0
47,22,FALSE,FALSE,0
48,17,FALSE,FALSE,0
49,6,FALSE,TRUE,0
50,24,FALSE,FALSE,0
51,19,TRUE,TRUE,42
52,6,FALSE,FALSE,0
53,17,FALSE,TRUE,0
54,17,FALSE,FALSE,0
55,8,FALSE,TRUE,0
56,17,FALSE,FALSE,0
57,8,FALSE,TRUE,0
58,10,TRUE,TRUE,27
59,15,FALSE,FALSE,0
60,22,TRUE,FALSE,27
61,3,FALSE,FALSE,0
62,9,FALSE,TRUE,0
63,16,TRUE,FALSE,28
64,3,TRUE,FALSE,32
65,22,TRUE,TRUE,36
66,10,FALSE,FALSE,0
67,23,FALSE,TRUE,0
68,22,FALSE,TRUE,0
69,24,TRUE,TRUE,9
70,13,FALSE,TRUE,0
71,3,FALSE,FALSE,0
72,19,FALSE,FALSE,0
73,18,TRUE,TRUE,30
74,21,TRUE,TRUE,21
75,24,TRUE,FALSE,44
76,23,FALSE,TRUE,0
77,6,FALSE,TRUE,0
78,20,TRUE,FALSE,40
79,9,FALSE,TRUE,0
80,7,FALSE,TRUE,0
81,19,TRUE,FALSE,30
82,6,FALSE,TRUE,0
83,5,TRUE,FALSE,33
84,12,TRUE,TRUE,44
85,8,TRUE,TRUE,24
86,16,FALSE,TRUE,0
87,1,FALSE,TRUE,0
88,4,FALSE,FALSE,0
89,23,FALSE,FALSE,0
90,19,FALSE,FALSE,0
91,9,FALSE,TRUE,0
92,20,FALSE,TRUE,0
93,17,FALSE,TRUE,0
94,6,TRUE,FALSE,48
95,22,TRUE,TRUE,48
96,6,FALSE,TRUE,0
97,21,FALSE,FALSE,0
98,21,TRUE,TRUE,36
99,13,FALSE,FALSE,0
100,17,FALSE,FALSE,0
101,2,FALSE,TRUE,0
102,6,FALSE,FALSE,0
103,2,TRUE,FALSE,30
104,21,FALSE,FALSE,0
105,16,FALSE,FALSE,0
106,11,FALSE,TRUE,0
107,4,TRUE,FALSE,48
108,3,TRUE,FALSE,27
109,4,FALSE,FALSE,0
110,21,FALSE,TRUE,0
111,10,TRUE,TRUE,21
112,6,TRUE,TRUE,36
113,6,FALSE,FALSE,0
114,9,FALSE,TRUE,0
115,11,FALSE,FALSE,0
116,19,FALSE,FALSE,0
117,22,TRUE,FALSE,27
118,14,FALSE,TRUE,0
119,8,FALSE,TRUE,0
120,17,FALSE,TRUE,0
121,13,TRUE,TRUE,30
122,16,FALSE,FALSE,0
123,2,TRUE,FALSE,27
124,6,FALSE,TRUE,0
125,24,FALSE,FALSE,0
126,11,FALSE,TRUE,0
127,6,TRUE,TRUE,18
128,19,FALSE,FALSE,0
129,23,FALSE,TRUE,0
130,15,FALSE,TRUE,0
131,21,TRUE,FALSE,30
132,22,FALSE,FALSE,0
133,14,FALSE,TRUE,0
134,23,FALSE,TRUE,0
135,19,FALSE,FALSE,0
136,19,TRUE,FALSE,39
137,7,FALSE,TRUE,0
138,9,FALSE,TRUE,0
139,16,TRUE,TRUE,21
140,8,FALSE,TRUE,0
141,3,TRUE,TRUE,18
142,16,TRUE,FALSE,32
143,22,FALSE,TRUE,0
144,23,FALSE,TRUE,0
145,2,FALSE,FALSE,0
146,5,FALSE,FALSE,0
147,16,TRUE,FALSE,15
148,21,FALSE,TRUE,0
149,9,TRUE,TRUE,40
150,3,TRUE,TRUE,32
151,8,TRUE,TRUE,30
152,3,FALSE,FALSE,0
153,8,FALSE,FALSE,0
154,19,FALSE,FALSE,0
155,4,TRUE,FALSE,27
156,24,FALSE,TRUE,0
157,20,FALSE,TRUE,0
158,19,FALSE,FALSE,0
159,7,TRUE,TRUE,24
160,17,FALSE,FALSE,0
161,3,FALSE,FALSE,0
162,2,FALSE,TRUE,0
163,5,TRUE,TRUE,27
164,15,FALSE,FALSE,0
165,15,FALSE,FALSE,0
166,10,FALSE,TRUE,0
167,22,FALSE,TRUE,0
168,17,TRUE,TRUE,48
169,3,FALSE,TRUE,0
170,16,FALSE,TRUE,0
171,9,FALSE,TRUE,0
172,20,TRUE,TRUE,33
173,12,FALSE,FALSE,0
174,5,FALSE,FALSE,0
175,17,TRUE,FALSE,32
176,3,FALSE,TRUE,0
177,15,FALSE,TRUE,0
178,22,TRUE,FALSE,44
179,5,TRUE,FALSE,36
180,6,FALSE,TRUE,0
181,18,TRUE,TRUE,40
182,19,TRUE,TRUE,45
183,18,TRUE,FALSE,32
184,23,FALSE,FALSE,0
185,11,FALSE,TRUE,0
186,16,FALSE,TRUE,0
187,6,FALSE,TRUE,0
188,7,FALSE,TRUE,0
189,8,FALSE,TRUE,0
190,4,TRUE,TRUE,30
191,11,FALSE,TRUE,0
192,15,FALSE,TRUE,0
193,17,FALSE,TRUE,0
194,11,FALSE,TRUE,0
195,7,TRUE,TRUE,44
196,10,FALSE,FALSE,0
197,24,TRUE,FALSE,44
198,11,TRUE,TRUE,27
199,3,FALSE,FALSE,0
200,18,TRUE,TRUE,40
201,11,TRUE,TRUE,48
202,24,FALSE,FALSE,0
203,1,FALSE,TRUE,0
204,8,FALSE,TRUE,0
205,8,FALSE,TRUE,0
206,22,FALSE,FALSE,0
207,10,FALSE,FALSE,0
208,5,FALSE,FALSE,0
209,20,TRUE,TRUE,52
210,12,TRUE,FALSE,33
211,10,FALSE,FALSE,0
212,20,FALSE,FALSE,0
213,1,FALSE,TRUE,0
214,22,FALSE,TRUE,0
215,6,FALSE,FALSE,0
216,3,FALSE,FALSE,0
217,4,FALSE,TRUE,0
218,4,FALSE,FALSE,0
219,11,FALSE,FALSE,0
220,3,FALSE,TRUE,0
221,1,FALSE,FALSE,0
222,19,TRUE,TRUE,48
223,1,FALSE,TRUE,0
224,12,FALSE,FALSE,0
225,19,FALSE,TRUE,0
226,10,TRUE,TRUE,24
227,21,TRUE,FALSE,40
228,13,FALSE,FALSE,0
229,12,TRUE,FALSE,52
230,1,FALSE,TRUE,0
231,21,TRUE,FALSE,33
232,13,FALSE,TRUE,0
233,10,TRUE,TRUE,27
234,22,FALSE,FALSE,0
235,13,FALSE,FALSE,0
236,8,TRUE,TRUE,36
237,18,FALSE,FALSE,0
238,23,FALSE,TRUE,0
239,2,FALSE,FALSE,0
240,24,FALSE,TRUE,0
241,6,FALSE,FALSE,0
242,21,FALSE,FALSE,0
243,14,FALSE,TRUE,0
244,6,FALSE,FALSE,0
245,5,TRUE,TRUE,30
246,11,FALSE,TRUE,0
247,14,FALSE,FALSE,0
248,9,FALSE,FALSE,0
249,20,FALSE,TRUE,0
250,20,FALSE,TRUE,0
251,1,FALSE,FALSE,0
252,1,FALSE,FALSE,0
253,15,FALSE,FALSE,0
254,6,FALSE,TRUE,0
255,21,TRUE,FALSE,24
256,10,TRUE,FALSE,18
257,2,FALSE,TRUE,0
258,11,FALSE,TRUE,0
259,18,TRUE,TRUE,36
260,12,TRUE,FALSE,28
261,11,FALSE,FALSE,0
262,19,FALSE,FALSE,0
263,5,FALSE,TRUE,0
264,2,FALSE,FALSE,0
265,6,FALSE,TRUE,0
266,2,FALSE,TRUE,0
267,5,FALSE,TRUE,0
268,23,TRUE,TRUE,68
269,13,TRUE,FALSE,44
270,20,FALSE,TRUE,0
271,5,FALSE,TRUE,0
272,9,FALSE,FALSE,0
273,23,TRUE,FALSE,48
274,6,FALSE,FALSE,0
275,15,FALSE,FALSE,0
276,22,FALSE,TRUE,0
277,20,TRUE,TRUE,30
278,9,FALSE,TRUE,0
279,2,FALSE,TRUE,0
280,11,FALSE,FALSE,0
281,24,TRUE,TRUE,36
282,12,FALSE,FALSE,0
283,24,FALSE,FALSE,0
284,5,FALSE,FALSE,0
285,19,FALSE,TRUE,0
286,7,FALSE,FALSE,0
287,20,FALSE,FALSE,0
288,6,FALSE,FALSE,0
289,5,TRUE,FALSE,33
290,15,FALSE,FALSE,0
291,4,FALSE,TRUE,0
292,23,FALSE,TRUE,0
293,13,FALSE,FALSE,0
294,2,FALSE,TRUE,0
295,10,TRUE,FALSE,40
296,4,TRUE,FALSE,18
297,18,FALSE,FALSE,0
298,20,FALSE,TRUE,0
299,10,TRUE,FALSE,48
300,2,FALSE,TRUE,0
301,17,FALSE,FALSE,0
302,4,FALSE,TRUE,0
303,22,TRUE,FALSE,44
304,10,FALSE,TRUE,0
305,24,FALSE,FALSE,0
306,19,TRUE,FALSE,9
